Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[2, 4]",H,"[2, 4, 6, 2, 10]",24,10,[10.],10,L,450.0,0,0
"[9, 5]",S,"[9, 5]",14,4,[4. 6. 3. 8.],21,L,425.0,2,1.1
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,425.0,6,3.4
"[6, 111]",H,"[6, 111, 10]",17,10,[10.  7.],17,P,425.0,2,1.2
"[111, 10]",PBJ,"[111, 10]",21,7,[7. 5.],12,W,462.5,1,0.6
"[10, 10]",S,"[10, 10]",20,7,[ 7. 10.],17,W,487.5,1,0.7
"[10, 6]",S,"[10, 6]",16,5,[  5.   9. 111.   4.],19,L,462.5,-1,-0.7
"[8, 7]",H,"[8, 7, 10]",25,111,[111.],11,L,437.5,0,0.0
"[9, 3]",H,"[9, 3, 2]",14,2,[2. 9. 5. 5.],21,L,412.5,-1,-0.8
"[10, 10]",S,"[10, 10]",20,2,[  2.   3.  10. 111.   3.],19,W,437.5,4,3.6
"[111, 10]",PBJ,"[111, 10]",21,10,[10. 10.],20,W,625.0,0,0
"[8, 5]",H,"[8, 5, 2, 10]",25,10,[10.],10,L,600.0,-4,-2.1
"[111, 10]",PBJ,"[111, 10]",21,3,[ 3. 10.],13,W,637.5,-4,-2.2
"[7, 4]",D,"[7, 4, 3]",14,111,[111.   2.   6.],19,L,587.5,-6,-3.4
"[8, 9]",S,"[8, 9]",17,6,[ 6. 10.  9.],25,W,612.5,-2,-1.2
"[9, 10]",S,"[9, 10]",19,10,[10.  3.  8.],21,L,587.5,-2,-1.3
"[4, 5]",H,"[4, 5, 10]",19,10,[10. 10.],20,L,562.5,-3,-2.1
"[8, 6]",S,"[8, 6]",14,3,[3. 5. 9.],17,L,537.5,-4,-3.0
"[10, 111]",PBJ,"[10, 111]",21,8,[8. 5.],13,W,575.0,-1,-0.8
"[2, 5]",H,"[2, 5, 111]",18,2,[ 2.  7. 10.],19,L,550.0,-2,-1.7
"[2, 7]",H,"[2, 7, 10]",19,10,[ 10. 111.],21,L,525.0,0,0.0
"[9, 10]",S,"[9, 10]",19,4,[ 4. 10. 10.],24,W,550.0,0,0
"[10, 10]",S,"[10, 10]",20,8,[ 8. 10.],18,W,575.0,-2,-1.1
"[7, 2]",H,"[7, 2, 111]",20,8,[ 8. 10.],18,W,600.0,-5,-2.7
"[7, 111]",D,"[7, 111, 10]",18,2,[ 2. 10.  5.],17,W,650.0,-5,-2.9
"[5, 6]",D,"[5, 6, 111]",12,8,[8. 9.],17,L,600.0,-5,-3.1
"[10, 9]",S,"[10, 9]",19,6,[ 6.  4. 10.],20,L,575.0,-4,-2.6
"[111, 5]",H,"[111, 5, 4]",20,8,[8. 4. 6.],18,W,600.0,-4,-2.8
"[10, 6]",H,"[10, 6, 10]",26,7,[7.],7,L,575.0,-1,-0.8
"[2, 6]",H,"[2, 6, 8, 2]",18,111,[111.  10.],21,L,550.0,-1,-0.8
"[5, 3]",H,"[5, 3, 7]",15,3,[ 3. 10.  3.  4.],20,L,525.0,0,0.0
"[3, 10]",H,"[3, 10, 7]",20,8,[8. 8. 3.],19,W,550.0,0,0
"[7, 10]",S,"[7, 10]",17,5,[ 5. 10.  4.],19,L,525.0,2,1.1
"[10, 10]",S,"[10, 10]",20,10,[10.  4.  3.],17,W,550.0,3,1.7
"[2, 6]",H,"[2, 6, 6]",14,2,[  2. 111.   5.],18,L,525.0,2,1.2
"[7, 6]",H,"[7, 6, 4]",17,9,[9. 8.],17,P,525.0,6,3.8
"[4, 10]",S,"[4, 10]",14,4,[  4. 111.   7.  10.],22,W,550.0,9,6.1
"[2, 2]",H,"[2, 2, 2, 6, 3, 8]",23,111,[111.],11,L,300.0,9,6.6
"[9, 7]",S,"[9, 7]",16,6,[ 6. 10.  6.],22,W,325.0,13,10.6
"[8, 111]",S,"[8, 111]",19,4,[  4.   3.   4. 111.  10.],22,W,575.0,15,13.2
"[10, 10]",S,"[10, 10]",20,6,[ 6. 10.  9.],25,W,825.0,15,15.0
"[7, 4]",D,"[7, 4, 9]",20,4,[ 4.  2. 10.  6.],22,W,1325.0,0,0
"[10, 5]",H,"[10, 5, 10]",25,9,[9.],9,L,1250.0,4,2.1
"[111, 10]",PBJ,"[111, 10]",21,5,[5. 5.],10,W,1287.5,3,1.7
"[9, 3]",H,"[9, 3, 6]",18,8,[8. 9.],17,W,1337.5,3,1.8
"[8, 9]",S,"[8, 9]",17,10,[10. 10.],20,L,1212.5,5,3.1
"[5, 10]",H,"[5, 10, 7]",22,8,[8.],8,L,1187.5,3,1.9
"[2, 4]",H,"[2, 4, 2, 10]",18,10,[10.  4.  6.],20,L,1162.5,4,2.7
"[111, 10]",PBJ,"[111, 10]",21,111,[111.  10.],21,W,1200.0,7,5.3
"[8, 2]",H,"[8, 2, 5, 3]",18,111,[111.  10.],21,L,1125.0,3,2.4
"[7, 10]",S,"[7, 10]",17,10,[10. 10.],20,L,1100.0,4,3.5
